YCSB Client 0.1
Command line: -db com.yahoo.ycsb.db.HBaseClient -P /root/ycsb/config/hbase.conf -P /root/ycsb/config/workload-ycsb-thomas -P /root/ycsb/config/workload-ycsb-thomas-continuous -s -target 600 -threads 50 -p eventFile=/root/ycsb/config/hbase/hbase-event-vmhb3-kill.xml -t
 0 sec: 0 operations; 
[UPDATE], 378000, 4307.333333333333
[UPDATE], 379000, 4320.0
[UPDATE], 380000, 3715.3333333333335
[UPDATE], 381000, 5452.884615384615
[UPDATE], 382000, 4446.156862745098
[UPDATE], 383000, 3073.271186440678
[UPDATE], 384000, 3438.101694915254
[UPDATE], 385000, 4474.75
[UPDATE], 386000, 4359.8
[UPDATE], 387000, 4213.75
[UPDATE], 388000, 4032.5
[UPDATE], 389000, 4435.0
[UPDATE], 390000, 4160.428571428572
[UPDATE], 391000, 3881.0
[UPDATE], 392000, 4172.833333333333
[UPDATE], 393000, 4639.0
[UPDATE], 394000, 3629.0
[UPDATE], 395000, 4008.4
[UPDATE], 396000, 4144.0
[UPDATE], 397000, 3750.3333333333335
[UPDATE], 398000, 3864.714285714286
[UPDATE], 399000, 3294.625
[UPDATE], 400000, 4253.021739130435
[UPDATE], 401000, 5675.4
[UPDATE], 402000, 5597.927272727273
[UPDATE], 403000, 4390.827586206897
[UPDATE], 404000, 2987.266666666667
[UPDATE], 405000, 3452.285714285714
[UPDATE], 406000, 4009.875
[UPDATE], 407000, 5025.0
[UPDATE], 408000, 75730.21428571429
[UPDATE], 409000, 4018.75
[UPDATE], 410000, 3968.6
[UPDATE], 411000, 3939.777777777778
[UPDATE], 412000, 3978.5714285714284
[UPDATE], 413000, 3752.1428571428573
[UPDATE], 414000, 3938.6666666666665
[UPDATE], 415000, 4071.285714285714
[UPDATE], 416000, 3632.9
[UPDATE], 417000, 4779.7
[UPDATE], 418000, 11601.4
[UPDATE], 419000, 3567.1111111111113
[UPDATE], 420000, 8827.413793103447
[UPDATE], 421000, 4060.4
[UPDATE], 422000, 5509.0
[UPDATE], 423000, 4489.4
[UPDATE], 424000, 6775.325581395349
[UPDATE], 425000, 10252.945945945947
[UPDATE], 426000, 5433.4375
[UPDATE], 427000, 6188.2962962962965
[UPDATE], 428000, 7453.461538461538
[UPDATE], 429000, 3932.5555555555557
[UPDATE], 430000, 3716.846153846154
[UPDATE], 431000, 3727.25
[UPDATE], 432000, 3799.4375
[UPDATE], 433000, 3762.818181818182
[UPDATE], 434000, 4762.142857142857
[UPDATE], 435000, 3703.625
[UPDATE], 436000, 3971.0
[UPDATE], 437000, 3749.8571428571427
[UPDATE], 438000, 3909.0
[UPDATE], 439000, 1.7640843625E7
[UPDATE], 440000, 6786.08
[UPDATE], 441000, 5228.785714285715
[UPDATE], 442000, 4229.82
[UPDATE], 443000, 4339.882352941177
[UPDATE], 444000, 4548.566666666667
[UPDATE], 445000, 4799.913043478261
[UPDATE], 446000, 3465.3125
[UPDATE], 447000, 3406.1724137931033
[UPDATE], 448000, 3971.3846153846152
[UPDATE], 449000, 3791.230769230769
[UPDATE], 450000, 3790.722222222222
[UPDATE], 451000, 10760.166666666666
[UPDATE], 452000, 9609.0
[UPDATE], 453000, 3892.4
[UPDATE], 454000, 4271.181818181818
[UPDATE], 455000, 8814.333333333334
[UPDATE], 456000, 3849.0
[UPDATE], 457000, 3672.1666666666665
[UPDATE], 458000, 6939.666666666667
[UPDATE], 459000, 3950.5625
[UPDATE], 460000, 5305.272727272727
[UPDATE], 461000, 10227.72972972973
[UPDATE], 462000, 5599.789473684211
[UPDATE], 463000, 5045.620689655172
[UPDATE], 464000, 3645.9666666666667
[UPDATE], 465000, 8329.04347826087
[UPDATE], 466000, 3561.8596491228072
[UPDATE], 467000, 5035.575342465753
