,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
282309302121,1,2,1,1,1,1,1,1,1,1,1,
282310302121,1,2,2,2,1,1,1,1,1,1,1,
282310802121,1,2,2,1,1,1,1,1,1,1,1,
282312302121,1,2,1,1,1,1,1,1,1,1,1,
282313302121,1,2,2,1,1,1,1,1,1,1,1,
282314802121,1,2,1,1,1,1,1,1,1,1,1,
282315802121,1,2,1,1,1,1,1,1,1,1,1,
282316302121,1,2,1,1,1,1,1,1,1,1,1,
282316802121,1,2,2,2,2,2,2,2,2,2,2,
282319302121,1,2,1,1,1,1,1,1,1,1,1,
282319802121,1,2,1,1,1,1,1,1,1,1,1,
282320802121,1,2,1,1,1,1,1,1,1,1,1,
282321302121,1,2,2,2,2,2,2,2,2,2,2,
282322802121,1,2,1,1,1,1,1,1,1,1,1,
282323802121,1,2,1,1,1,1,1,1,1,1,1,
282325802121,1,2,1,1,1,1,1,1,1,1,1,
282329302121,1,2,1,1,1,1,1,1,1,1,1,
282331802121,1,2,1,1,1,1,1,1,1,1,1,
282332302121,1,2,1,1,1,1,1,1,1,1,1,
282332802121,1,2,2,2,2,1,1,1,1,1,1,
282333802121,1,2,1,1,1,1,1,1,1,1,1,
282334802121,1,2,1,1,1,1,1,1,1,1,1,
282335802121,1,2,2,2,2,1,1,1,1,1,1,
282336302121,1,2,1,1,1,1,1,1,1,1,1,
282336802121,1,2,1,1,1,1,1,1,1,1,1,
282337802121,1,1,1,1,1,1,1,1,1,1,1,
282338302121,1,2,1,1,1,1,1,1,1,1,1,
282338802121,1,2,1,1,1,1,1,1,1,1,1,
282339302121,1,2,2,1,1,1,1,1,1,1,1,
282340302121,1,2,1,1,1,1,1,1,1,1,1,
282342302121,1,2,1,1,1,1,1,1,1,1,1,
282343302121,1,2,1,1,1,1,1,1,1,1,1,
282346302121,1,2,2,1,1,1,1,1,1,1,1,
282347802121,1,1,1,1,1,1,1,1,1,1,1,
282348302121,1,2,1,1,1,1,1,1,1,1,1,
282349302121,1,2,1,1,1,1,1,1,1,1,1,
282350302121,1,2,1,1,1,1,1,1,1,1,1,
282350802121,1,2,1,1,1,1,1,1,1,1,1,
282351302121,1,2,2,2,2,2,2,2,2,2,2,
282351802121,1,2,2,1,1,1,1,1,1,1,1,
282352302121,1,2,1,1,1,1,1,1,1,1,1,
282352802121,1,2,1,1,1,1,1,1,1,1,1,
282353302121,1,2,2,1,1,1,1,1,1,1,1,
282353802121,1,2,1,1,1,1,1,1,1,1,1,
282355302121,1,2,2,1,1,1,1,1,1,1,1,
282357302121,1,2,2,1,1,1,1,1,1,1,1,
282358302121,1,2,1,1,1,1,1,1,1,1,1,
282358802121,1,2,1,1,1,1,1,1,1,1,1,
282360302121,1,2,2,2,2,2,1,1,1,1,1,
282363302121,1,2,1,1,1,1,1,1,1,1,1,
282366802121,1,2,2,1,1,1,1,1,1,1,1,
282367302121,1,2,1,1,1,1,1,1,1,1,1,
282367802121,1,2,1,1,1,1,1,1,1,1,1,
282368302121,1,2,2,1,1,1,1,1,1,1,1,
282368802121,1,2,2,1,1,1,1,1,1,1,1,
282369802121,1,2,1,1,1,1,1,1,1,1,1,
282371802121,1,2,1,1,1,1,1,1,1,1,1,
282372302121,1,2,1,1,1,1,1,1,1,1,1,
282373802121,1,2,1,1,1,1,1,1,1,1,1,
282374302121,1,2,2,1,1,1,1,1,1,1,1,
282374802121,1,2,1,1,1,1,1,1,1,1,1,
282375302121,1,2,1,1,1,1,1,1,1,1,1,
282376302121,1,2,1,1,1,1,1,1,1,1,1,
282376802121,1,2,2,1,1,1,1,1,1,1,1,
282377302121,1,2,1,1,1,1,1,1,1,1,1,
282378302121,1,2,1,1,1,1,1,1,1,1,1,
282380302121,1,2,1,1,1,1,1,1,1,1,1,
282381802121,1,2,2,1,1,1,1,1,1,1,1,
282382302121,1,2,1,1,1,1,1,1,1,1,1,
282383302121,1,2,1,1,1,1,1,1,1,1,1,
282383802121,1,2,2,2,2,2,1,1,1,1,1,
282384802121,1,2,1,1,1,1,1,1,1,1,1,
282385802121,1,2,1,1,1,1,1,1,1,1,1,
282386802121,1,2,2,1,1,1,1,1,1,1,1,
282387302121,1,2,1,1,1,1,1,1,1,1,1,
282388302121,1,2,1,1,1,1,1,1,1,1,1,
282388802121,1,2,2,1,1,1,1,1,1,1,1,
282389302121,1,2,1,1,1,1,1,1,1,1,1,
282390302121,1,1,1,1,1,1,1,1,1,1,1,
282391302121,1,1,1,1,1,1,1,1,1,1,1,
282392802121,1,2,1,1,1,1,1,1,1,1,1,
282393302121,1,2,2,2,2,1,1,1,1,1,1,
282393802121,1,2,1,1,1,1,1,1,1,1,1,
282394302121,1,2,1,1,1,1,1,1,1,1,1,
282394802121,1,2,1,1,1,1,1,1,1,1,1,
282395302121,1,2,1,1,1,1,1,1,1,1,1,
282395802121,1,2,2,2,2,1,1,1,1,1,1,
282396302121,1,2,1,1,1,1,1,1,1,1,1,
282396802121,1,1,1,1,1,1,1,1,1,1,1,
282397302121,1,2,2,2,1,1,1,1,1,1,1,
282398302121,1,2,1,1,1,1,1,1,1,1,1,
282400302121,1,2,2,2,1,1,1,1,1,1,1,
282402802121,1,2,2,2,2,1,1,1,1,1,1,
282403302121,1,2,2,1,1,1,1,1,1,1,1,
282403802121,1,2,2,2,1,1,1,1,1,1,1,
282404802121,1,2,2,1,1,1,1,1,1,1,1,
282405302121,1,2,1,1,1,1,1,1,1,1,1,
282406802121,1,2,2,1,1,1,1,1,1,1,1,
282407302121,1,2,1,1,1,1,1,1,1,1,1,
282407802121,1,2,1,1,1,1,1,1,1,1,1,
282408802121,1,2,1,1,1,1,1,1,1,1,1,
282409302121,1,2,1,1,1,1,1,1,1,1,1,
282411802121,1,2,1,1,1,1,1,1,1,1,1,
282413302121,1,2,1,1,1,1,1,1,1,1,1,
282414302121,1,2,2,1,1,1,1,1,1,1,1,
282414802121,1,2,1,1,1,1,1,1,1,1,1,

