,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
280584835236,7625,108557,12939,22971,31484,42924,51119,65564,82633,84275,91322,
280585335236,6541,105611,12042,24880,31933,42414,65722,67292,75842,86476,93726,
280585835236,4946,106495,19201,23435,31228,50723,62667,68076,73573,81326,91278,
280586335236,54507,216542,216050,216284,216658,217188,59475,73063,109867,114576,115400,
280586835236,3401,103440,11337,22449,33010,41965,51278,64669,71378,81493,98240,
280588335236,13812,109662,16036,23954,37533,42618,52142,62163,75465,82199,91528,
280589335236,11978,102959,13164,21251,32703,41603,51842,67403,75922,81021,100035,
280589835236,12796,105047,14746,22753,32668,41248,51140,61161,80832,81917,95357,
280590835236,10842,103189,13757,28432,33680,41291,51149,61864,81728,84191,101441,
280591335236,4045,104016,17652,29175,33864,44600,54816,65081,71334,82429,96300,
280591835236,4481,107282,11382,24565,32105,42607,51623,61561,72206,81692,97702,
280593335236,4847,5989,15410,25650,32357,49432,56124,64858,78631,83366,92844,
280593835236,4649,104085,12385,22884,33408,42072,52416,62491,73559,91311,92164,
280594835236,5378,115258,20866,21335,32252,41197,57688,75997,77057,85996,92795,
280596335236,9664,119279,16813,23236,33006,41707,51126,61264,74934,81839,92248,
280597335236,7603,104295,11566,23494,31204,46677,51148,64319,73050,94863,95875,
280597835236,19506,113067,20353,23392,31352,44020,56838,61429,73504,81086,93668,
280598335236,5458,103232,11692,22293,34075,47085,51160,62530,71277,91498,92896,
280599835236,7152,103849,11218,21884,33865,41167,53113,72040,72907,82082,91310,
280600335236,10035,106856,11302,25534,38959,41800,57359,63636,84349,85536,91481,
280601835236,5460,106215,11127,37612,37913,43150,52311,61180,71977,81213,92804,
280602835236,3627,4547,15263,22954,35509,47690,52505,76511,76759,81285,93043,
280603335236,4848,111290,12506,22636,32049,40907,51127,61394,76280,81421,95138,
280604335236,6103,104643,11495,21216,31555,41271,53117,66643,72930,81413,91379,
280605335236,5234,107016,12179,24596,32567,43071,52481,63997,83150,84105,91659,
280605835236,4506,104390,15203,21213,31356,41199,53356,61388,72226,83001,92592,
280606335236,5188,107739,12583,22580,33186,41491,53489,62416,72215,81267,91573,
280608335236,5909,105555,11387,31461,46999,64524,68009,76803,84405,89465,96187,
280609335236,8320,107276,11679,28452,31919,44410,51124,70636,73469,91310,93199,
280609835236,4034,104603,13332,22284,34273,46244,51330,62458,75022,81887,94375,
280610335236,6290,6462,12842,23978,31088,41963,52399,69706,75042,82847,93056,
280610835236,6417,103832,11522,28485,32486,45308,55724,62542,74888,82207,98093,
280611835236,3627,106021,11211,24703,31722,41295,69661,75159,76624,81523,95669,
280612335236,6077,105571,13104,22038,43453,44756,51354,61794,72385,90874,94178,
280612835236,5647,104942,11447,23473,31625,43268,52607,62918,71529,81901,91128,
280613335236,4701,109404,13233,21933,32305,41692,51982,62851,72017,91397,92250,
280613835236,4470,102553,12455,23498,32935,43576,51955,62372,71406,81084,93023,
280614335236,10054,12079,12370,21271,31650,45483,64454,65632,72185,85736,97388,
280614835236,10889,104174,13265,21106,33375,42725,51387,61064,72545,83005,100252,
280615335236,4858,107598,13343,21204,31496,42472,51705,62397,71963,100861,102277,
280615835236,6417,106383,11631,21125,33431,41682,51564,61124,71810,82669,95855,
280616335236,9002,104375,13394,23516,38584,42075,52164,61396,72287,82463,91975,
280616835236,8364,109185,12713,25514,31293,41340,55543,62461,71557,82049,92487,
280618335236,3478,103585,18806,24103,36309,44338,53721,62986,71558,81874,92823,
280619835236,3595,109130,11607,28633,33531,51507,53950,62559,71439,99805,100465,
280620335236,9752,135319,15881,33611,34292,42813,51949,64859,72150,82251,98234,
280620835236,4263,104156,12326,24252,44351,48188,56244,67740,72944,81741,95143,
280621335236,5907,106210,11294,23449,52338,51683,54628,64481,74391,86489,93823,
280621835236,4558,104690,12415,22357,31573,43626,51323,61719,71120,93321,92437,
280622835236,4680,105377,15327,25826,32128,41347,58370,65012,71219,81817,93486,
280623335236,5128,107552,12998,21395,31257,53298,53306,62173,71102,82128,93923,
280626835236,4204,105037,14465,22371,35936,41930,54563,65254,73426,81579,98327,
280627335236,7256,108747,22709,28587,34752,41611,51899,60991,74004,81353,91316,
280627835236,148701,245979,244502,244927,253283,253575,252922,253567,253663,148808,148699,
280628335236,6672,106606,19936,23128,31804,50321,53486,64692,79620,86081,95274,
