,W-0,R-0,R-1,R-2,R-3,R-4,R-5,R-6,R-7,R-8,R-9,
282285302121,1,2,1,1,1,1,1,1,1,1,1,
282286802121,1,2,2,2,2,2,2,2,2,2,2,
282287302121,1,2,2,1,1,1,1,1,1,1,1,
282287802121,1,2,1,1,1,1,1,1,1,1,1,
282288302121,1,2,1,1,1,1,1,1,1,1,1,
282288802121,1,2,2,1,1,1,1,1,1,1,1,
282289802121,1,2,1,1,1,1,1,1,1,1,1,
282290302121,1,2,2,2,2,2,2,2,2,2,1,
282293802121,1,2,1,1,1,1,1,1,1,1,1,
282294302121,1,2,2,1,1,1,1,1,1,1,1,
282294802121,1,2,1,1,1,1,1,1,1,1,1,
282295302121,1,1,1,1,1,1,1,1,1,1,1,
282296302121,1,2,1,1,1,1,1,1,1,1,1,
282296802121,1,2,1,1,1,1,1,1,1,1,1,
282297302121,1,2,1,1,1,1,1,1,1,1,1,
282298802121,1,2,2,1,1,1,1,1,1,1,1,
282301802121,1,2,2,1,1,1,1,1,1,1,1,
282303802121,1,2,2,1,1,1,1,1,1,1,1,
282305802121,1,2,1,1,1,1,1,1,1,1,1,
282306302121,1,2,1,1,1,1,1,1,1,1,1,
282306802121,1,2,1,1,1,1,1,1,1,1,1,
282307802121,1,2,1,1,1,1,1,1,1,1,1,
282308302121,1,2,1,1,1,1,1,1,1,1,1,
282309802121,1,2,1,1,1,1,1,1,1,1,1,
282311302121,1,2,2,1,1,1,1,1,1,1,1,
282311802121,1,2,2,1,1,1,1,1,1,1,1,
282312802121,1,2,1,1,1,1,1,1,1,1,1,
282313802121,1,2,1,1,1,1,1,1,1,1,1,
282314302121,1,2,2,1,1,1,1,1,1,1,1,
282315302121,1,2,2,1,1,1,1,1,1,1,1,
282317302121,1,2,2,1,1,1,1,1,1,1,1,
282317802121,1,2,2,2,2,2,2,2,2,2,1,
282318302121,1,2,1,1,1,1,1,1,1,1,1,
282318802121,1,2,1,1,1,1,1,1,1,1,1,
282320302121,1,2,2,2,2,2,2,2,2,1,1,
282321802121,1,2,2,2,2,2,2,2,2,2,2,
282322302121,1,2,1,1,1,1,1,1,1,1,1,
282323302121,1,2,1,1,1,1,1,1,1,1,1,
282324302121,1,2,2,1,1,1,1,1,1,1,1,
282324802121,1,2,1,1,1,1,1,1,1,1,1,
282325302121,1,2,1,1,1,1,1,1,1,1,1,
282326302121,1,2,2,2,2,2,2,2,2,2,1,
282326802121,1,2,2,1,1,1,1,1,1,1,1,
282327302121,1,2,2,1,1,1,1,1,1,1,1,
282327802121,1,2,1,1,1,1,1,1,1,1,1,
282328302121,1,2,1,1,1,1,1,1,1,1,1,
282328802121,1,2,1,1,1,1,1,1,1,1,1,
282329802121,1,2,1,1,1,1,1,1,1,1,1,
282330302121,1,2,2,1,1,1,1,1,1,1,1,
282330802121,1,1,1,1,1,1,1,1,1,1,1,
282331302121,1,2,1,1,1,1,1,1,1,1,1,
282333302121,1,2,1,1,1,1,1,1,1,1,1,
282334302121,1,2,1,1,1,1,1,1,1,1,1,
282335302121,1,2,1,1,1,1,1,1,1,1,1,
282337302121,1,2,1,1,1,1,1,1,1,1,1,
282339802121,1,2,2,1,1,1,1,1,1,1,1,
282340802121,1,2,1,1,1,1,1,1,1,1,1,
282341302121,1,2,1,1,1,1,1,1,1,1,1,
282341802121,1,2,2,1,1,1,1,1,1,1,1,
282342802121,1,2,2,1,1,1,1,1,1,1,1,
282343802121,1,2,1,1,1,1,1,1,1,1,1,
282344302121,1,2,1,1,1,1,1,1,1,1,1,
282344802121,1,2,1,1,1,1,1,1,1,1,1,
282345302121,1,2,1,1,1,1,1,1,1,1,1,
282345802121,1,2,1,1,1,1,1,1,1,1,1,
282346802121,1,2,1,1,1,1,1,1,1,1,1,
282347302121,1,2,1,1,1,1,1,1,1,1,1,
282348802121,1,2,2,1,1,1,1,1,1,1,1,
282349802121,1,2,2,1,1,1,1,1,1,1,1,
282354302121,1,2,2,1,1,1,1,1,1,1,1,
282354802121,1,2,2,1,1,1,1,1,1,1,1,
282355802121,1,2,1,1,1,1,1,1,1,1,1,
282356302121,1,2,1,1,1,1,1,1,1,1,1,
282356802121,1,2,2,1,1,1,1,1,1,1,1,
282357802121,1,2,1,1,1,1,1,1,1,1,1,
282359302121,1,2,1,1,1,1,1,1,1,1,1,
282359802121,1,2,1,1,1,1,1,1,1,1,1,
282360802121,1,2,2,1,1,1,1,1,1,1,1,
282361302121,1,2,2,1,1,1,1,1,1,1,1,
282361802121,1,2,2,1,1,1,1,1,1,1,1,
282362302121,1,2,2,1,1,1,1,1,1,1,1,
282362802121,1,2,1,1,1,1,1,1,1,1,1,
282363802121,1,2,1,1,1,1,1,1,1,1,1,
282364302121,1,1,1,1,1,1,1,1,1,1,1,
282364802121,1,2,1,1,1,1,1,1,1,1,1,
282365302121,1,2,1,1,1,1,1,1,1,1,1,
282365802121,1,2,2,1,1,1,1,1,1,1,1,
282366302121,1,2,1,1,1,1,1,1,1,1,1,
282369302121,1,2,1,1,1,1,1,1,1,1,1,
282370302121,1,2,1,1,1,1,1,1,1,1,1,
282370802121,1,2,1,1,1,1,1,1,1,1,1,
282371302121,1,2,1,1,1,1,1,1,1,1,1,
282372802121,1,2,1,1,1,1,1,1,1,1,1,
282373302121,1,2,1,1,1,1,1,1,1,1,1,
282375802121,1,2,1,1,1,1,1,1,1,1,1,
282377802121,1,2,2,1,1,1,1,1,1,1,1,
282378802121,1,2,1,1,1,1,1,1,1,1,1,
282379302121,1,2,1,1,1,1,1,1,1,1,1,
282379802121,1,2,1,1,1,1,1,1,1,1,1,
282380802121,1,2,2,1,1,1,1,1,1,1,1,
282381302121,1,2,1,1,1,1,1,1,1,1,1,
282382802121,1,2,2,2,1,1,1,1,1,1,1,
282384302121,1,2,2,1,1,1,1,1,1,1,1,
282385302121,1,2,1,1,1,1,1,1,1,1,1,
282386302121,1,2,1,1,1,1,1,1,1,1,1,
282387802121,1,2,1,1,1,1,1,1,1,1,1,
282389802121,1,2,2,1,1,1,1,1,1,1,1,
282390802121,1,1,1,1,1,1,1,1,1,1,1,
282391802121,1,2,1,1,2,2,2,1,1,1,1,
282392302121,1,2,2,2,2,2,2,1,1,1,1,
282397802121,1,2,2,1,1,1,1,1,1,1,1,
282398802121,1,2,2,1,1,1,1,1,1,1,1,
282399302121,1,2,1,1,1,1,1,1,1,1,1,
282399802121,1,2,1,1,1,1,1,1,1,1,1,
282400802121,1,2,2,1,1,1,1,1,1,1,1,
282401302121,1,2,1,1,1,1,1,1,1,1,1,
282401802121,1,2,2,1,1,1,1,1,1,1,1,
282402302121,1,2,2,1,1,1,1,1,1,1,1,
282404302121,1,2,2,1,1,1,1,1,1,1,1,
282405802121,1,2,1,1,1,1,1,1,1,1,1,
282406302121,1,2,2,1,1,1,1,1,1,1,1,
282408302121,1,2,2,1,1,1,1,1,1,1,1,
282409802121,1,2,2,1,1,1,1,1,1,1,1,
282410302121,1,2,1,1,1,1,1,1,1,1,1,
282410802121,1,2,1,1,1,1,1,1,1,1,1,
282411302121,1,2,2,2,1,1,1,1,1,1,1,
282412302121,1,2,1,1,1,1,1,1,1,1,1,
282412802121,1,2,2,1,1,1,1,1,1,1,1,
282413802121,1,2,1,1,1,1,1,1,1,1,1,
282415302121,1,2,2,1,1,1,1,1,1,1,1,
282415802121,1,2,1,1,1,1,1,1,1,1,1,

